번호,CardId,카드명,코스트,타입,레어도,타겟,기본 효과,강화 효과,강화 차이 요약
1,SHOOT,사격,1,Attack,Basic,AnyEnemy,격발 1회. {Damage:diff()} 피해.,격발 1회. {Damage:diff()} 피해(+3).,수치 증가
2,DEFEND_GUNSLINGER,방어,1,Skill,Basic,Self,{Block:diff()} 방어도를 획득.,{Block:diff()} 방어도를 획득.,동일
3,RELOAD,장전,0,Skill,Common,,일반탄 2발 장전(최대 6).,일반탄 2발 장전(최대 6). 카드 1장 뽑기.,뽑기 추가
4,TAKE_COVER,엄폐,1,Skill,Common,,{Block:diff()} 방어도 획득. 빈 약실마다 방어도 +1.,동일 (수치 증가),수치 증가
5,EVASION,회피,1,Skill,Common,,방어도 8 획득. 이번 턴 받는 피해를 최대 10 감소.,방어도 10 획득. 이번 턴 받는 피해를 최대 14 감소.,수치 증가
6,ECHO_NOTE,에코 노트,0,Skill,Common,,카드 1장 뽑기. 이번 턴 추적탄을 발사했다면 1장 추가.,카드 2장 뽑기. 이번 턴 추적탄을 발사했다면 1장 추가.,기본 드로우 증가
7,QUICK_RACK,퀵 랙,1,Attack,Common,AnyEnemy,방아쇠 1회. 추적탄 1발 장전. 카드 1장 뽑기.,방아쇠 1회. 추적탄 2발 장전. 카드 1장 뽑기.,장전 증가
8,HOT_CHAMBER,핫 챔버,1,Attack,Common,AnyEnemy,방아쇠 1회. 피해 +4. 발사한 탄환이 추적탄이면 추적탄 1발 장전 후 카드 1장 뽑기.,방아쇠 1회. 피해 +6. 발사한 탄환이 추적탄이면 추적탄 1발 장전 후 카드 1장 뽑기.,피해 증가
10,PANNING,패닝,3,Attack,Common,AnyEnemy,장전된 탄환을 순서대로 모두 격발. 격발마다 {Damage:diff()} 피해.,장전된 탄환을 순서대로 모두 격발. 격발마다 {Damage:diff()} 피해. 보존.,보존 추가
11,SPRAY_FIRE,난사,1,Attack,Common,,장전된 탄환을 무작위 적에게 모두 격발.,장전된 탄환을 무작위 적에게 모두 격발. 각 발사는 피해 +2.,피해 증가
12,SEAL_LOAD,봉인탄 장전,1,Skill,Common,,봉인탄 1발 장전(최대 1). 이미 장전되어 있으면 봉인 레벨 +1. 방어도 5 획득.,봉인탄 1발 장전(최대 1). 이미 장전되어 있으면 봉인 레벨 +1. 방어도 8 획득.,동일
14,ETCHED_TRACER,에칭 트레이서,0,Skill,Common,,격발 1회. 추적탄 1발 장전.,격발 1회. 추적탄 1발 장전. 카드 1장 뽑기.,뽑기 추가
15,IMPRINT_SQUEEZE,도탄 압착,0,Skill,Uncommon,,카드 1장 버림. 도탄 2 획득.,카드 1장 버림. 도탄 3 획득.,도탄 증가
16,IMPRINT_COMPRESSION,도탄 압축,1,Power,Uncommon,,지속: 턴 시작 시 도탄이 3 이상이면 카드 1장 뽑기.,지속: 턴 시작 시 도탄이 2 이상이면 카드 1장 뽑기.,조건 완화
22,TRACER_CONVERSION,추적탄 변환,0,Skill,Uncommon,,일반탄 최대 2발을 추적탄으로 변환.,일반탄 최대 2발을 추적탄으로 변환. 카드 1장 뽑기.,뽑기 추가
23,BALLISTIC_COMPILER,탄도 컴파일러,1,Power,Uncommon,,지속: 매 턴 첫 추적탄 발사 시 카드 1장을 뽑고 도탄 1 획득.,지속: 매 턴 첫 추적탄 발사 시 카드 1장을 뽑고 도탄 2 획득.,도탄 증가
24,CHAIN_BURST,체인 버스트,1,Attack,Uncommon,AnyEnemy,방아쇠 1회. 추적탄 발사가 성공했다면 추가로 1회 더 격발.,방아쇠 2회. 추적탄 발사가 성공했다면 추가로 2회 더 격발.,격발 증가
25,WALKING_FIRE,워킹 파이어,1,Attack,Uncommon,AnyEnemy,방아쇠 2회. 추적탄 발사가 성공했다면 추적탄 1발 장전.,방아쇠 3회. 추적탄 발사가 성공했다면 추적탄 1발 장전.,격발 증가
26,CROSSFIRE_RHYTHM,사냥 개시,1,Attack,Uncommon,AnyEnemy,방아쇠 1회. 피해 +2. 이번 턴 추적탄을 발사했다면 카드 1장 뽑습니다.,방아쇠 1회. 피해 +3. 이번 턴 추적탄을 발사했다면 카드 1장 뽑고 추적탄 1발 장전.,강화 시 효과 변경
30,EMPTY_THE_MAGAZINE,탄창 비우기,1,Skill,Uncommon,,탄환을 모두 제거합니다. 제거한 수만큼 뽑습니다. 이번 턴 더 이상 카드를 뽑을 수 없습니다.,탄환을 모두 제거합니다. 제거한 수만큼 뽑습니다. 이번 턴 더 이상 카드를 뽑을 수 없습니다.,동일
